exploratory	EP_PlotID	plant_genus	plant_species	inflorescences_qcm	survey	date
Alb	AEG14	Heracleum	Heracleum sphondylium	120	3	8/6/2009 12:00:00 AM
Alb	AEG14	Heracleum	Heracleum sphondylium	65	4	8/12/2009 12:00:00 AM
Alb	AEG14	Leucanthemum	Leucanthemum vulgare	4	1	7/24/2009 12:00:00 AM
Alb	AEG14	Leucanthemum	Leucanthemum vulgare	15	2	7/29/2009 12:00:00 AM
Alb	AEG14	Medicago	Medicago lupulina	20	1	7/24/2009 12:00:00 AM
Alb	AEG14	Medicago	Medicago lupulina	30	2	7/29/2009 12:00:00 AM
Alb	AEG14	Medicago	Medicago lupulina	40	3	8/6/2009 12:00:00 AM
Alb	AEG14	Medicago	Medicago lupulina	30	4	8/12/2009 12:00:00 AM
Alb	AEG14	Plantago	Plantago major	65	1	7/24/2009 12:00:00 AM
Alb	AEG14	Plantago	Plantago major	75	2	7/29/2009 12:00:00 AM
Alb	AEG14	Plantago	Plantago major	25	3	8/6/2009 12:00:00 AM
Alb	AEG14	Plantago	Plantago major	5	4	8/12/2009 12:00:00 AM
Alb	AEG14	Plantago	Plantago media	12	1	7/24/2009 12:00:00 AM
Alb	AEG14	Plantago	Plantago media	10	2	7/29/2009 12:00:00 AM
Alb	AEG14	Ranunculus	Ranunculus acris	10	4	8/12/2009 12:00:00 AM
Alb	AEG14	Ranunculus	Ranunculus acris	50	1	7/24/2009 12:00:00 AM
Alb	AEG14	Ranunculus	Ranunculus acris	60	2	7/29/2009 12:00:00 AM
Alb	AEG14	Ranunculus	Ranunculus acris	35	3	8/6/2009 12:00:00 AM
Alb	AEG14	Trifolium	Trifolium pratense	335	1	7/24/2009 12:00:00 AM
Alb	AEG14	Trifolium	Trifolium pratense	405	2	7/29/2009 12:00:00 AM
Alb	AEG14	Trifolium	Trifolium pratense	135	3	8/6/2009 12:00:00 AM
Alb	AEG14	Trifolium	Trifolium pratense	70	4	8/12/2009 12:00:00 AM
Alb	AEG14	Trifolium	Trifolium repens	530	1	7/24/2009 12:00:00 AM
Alb	AEG14	Trifolium	Trifolium repens	270	2	7/29/2009 12:00:00 AM
Alb	AEG14	Trifolium	Trifolium repens	20	3	8/6/2009 12:00:00 AM
Alb	AEG14	Trifolium	Trifolium repens	15	4	8/12/2009 12:00:00 AM
Alb	AEG14	Vicia	Vicia sativa	16	1	7/24/2009 12:00:00 AM
Alb	AEG14	Vicia	Vicia sativa	70	2	7/29/2009 12:00:00 AM
Alb	AEG14	Vicia	Vicia sativa	10	3	8/6/2009 12:00:00 AM
Alb	AEG15	Achillea	Achillea millefolium agg.	10	1	7/27/2009 12:00:00 AM
Alb	AEG15	Galium	Galium mollugo agg.	50	1	7/27/2009 12:00:00 AM
Alb	AEG15	Galium	Galium mollugo agg.	80	2	7/31/2009 12:00:00 AM
Alb	AEG15	Galium	Galium mollugo agg.	40	3	8/6/2009 12:00:00 AM
Alb	AEG15	Geranium	Geranium pratense	65	1	7/27/2009 12:00:00 AM
Alb	AEG15	Geranium	Geranium pratense	20	2	7/31/2009 12:00:00 AM
Alb	AEG15	Geranium	Geranium pratense	5	4	8/14/2009 12:00:00 AM
Alb	AEG15	Geranium	Geranium sylvestris	35	2	7/31/2009 12:00:00 AM
Alb	AEG15	Heracleum	Heracleum sphondylium	510	1	7/27/2009 12:00:00 AM
Alb	AEG15	Heracleum	Heracleum sphondylium	185	2	7/31/2009 12:00:00 AM
Alb	AEG15	Heracleum	Heracleum sphondylium	40	3	8/6/2009 12:00:00 AM
Alb	AEG15	Heracleum	Heracleum sphondylium	15	4	8/14/2009 12:00:00 AM
Alb	AEG15	Medicago	Medicago x varia	180	1	7/27/2009 12:00:00 AM
Alb	AEG15	Medicago	Medicago x varia	10	2	7/31/2009 12:00:00 AM
Alb	AEG15	Medicago	Medicago x varia	20	3	8/6/2009 12:00:00 AM
Alb	AEG15	Medicago	Medicago x varia	55	4	8/14/2009 12:00:00 AM
Alb	AEG15	Alchemilla		20	2	7/31/2009 12:00:00 AM
Alb	AEG15	Myosotis		15	2	7/31/2009 12:00:00 AM
Alb	AEG15	Plantago	Plantago major	90	1	7/27/2009 12:00:00 AM
Alb	AEG15	Plantago	Plantago major	25	2	7/31/2009 12:00:00 AM
Alb	AEG15	Plantago	Plantago major	5	3	8/6/2009 12:00:00 AM
Alb	AEG15	Plantago	Plantago major	10	4	8/14/2009 12:00:00 AM
Alb	AEG15	Polygonum	Polygonum bistorta	15	1	7/27/2009 12:00:00 AM
Alb	AEG15	Ranunculus	Ranunculus acris	525	1	7/27/2009 12:00:00 AM
Alb	AEG15	Ranunculus	Ranunculus acris	160	2	7/31/2009 12:00:00 AM
Alb	AEG15	Ranunculus	Ranunculus acris	45	3	8/6/2009 12:00:00 AM
Alb	AEG15	Ranunculus	Ranunculus acris	55	4	8/14/2009 12:00:00 AM
Alb	AEG15	Trifolium	Trifolium pratense	870	1	7/27/2009 12:00:00 AM
Alb	AEG15	Trifolium	Trifolium pratense	420	2	7/31/2009 12:00:00 AM
Alb	AEG15	Trifolium	Trifolium pratense	320	3	8/6/2009 12:00:00 AM
Alb	AEG15	Trifolium	Trifolium pratense	325	4	8/14/2009 12:00:00 AM
Alb	AEG15	Trifolium	Trifolium repens	460	1	7/27/2009 12:00:00 AM
Alb	AEG15	Trifolium	Trifolium repens	160	2	7/31/2009 12:00:00 AM
Alb	AEG15	Trifolium	Trifolium repens	35	3	8/6/2009 12:00:00 AM
Alb	AEG15	Trifolium	Trifolium repens	75	4	8/14/2009 12:00:00 AM
Alb	AEG15	Vicia	Vicia sativa	15	2	7/31/2009 12:00:00 AM
Alb	AEG15	Vicia	Vicia sativa	10	3	8/6/2009 12:00:00 AM
Alb	AEG15	Vicia	Vicia sativa	10	4	8/14/2009 12:00:00 AM
Alb	AEG19	Achillea	Achillea millefolium agg.	5	2	7/29/2009 12:00:00 AM
Alb	AEG19	Galium	Galium mollugo agg.	515	1	7/25/2009 12:00:00 AM
Alb	AEG19	Galium	Galium mollugo agg.	520	2	7/29/2009 12:00:00 AM
Alb	AEG19	Galium	Galium mollugo agg.	360	3	8/7/2009 12:00:00 AM
Alb	AEG19	Galium	Galium mollugo agg.	100	4	8/12/2009 12:00:00 AM
Alb	AEG19	Geranium	Geranium pratense	5	2	7/29/2009 12:00:00 AM
Alb	AEG19	Heracleum	Heracleum sphondylium	19	1	7/25/2009 12:00:00 AM
Alb	AEG19	Heracleum	Heracleum sphondylium	10	2	7/29/2009 12:00:00 AM
Alb	AEG19	Hypericum	Hypericum perforatum	15	1	7/25/2009 12:00:00 AM
Alb	AEG19	Hypericum	Hypericum perforatum	15	2	7/29/2009 12:00:00 AM
Alb	AEG19	Lamium	Lamium album	3	1	7/25/2009 12:00:00 AM
Alb	AEG19	Minuartia	Minuartia verna	2	1	7/25/2009 12:00:00 AM
Alb	AEG19	Minuartia	Minuartia verna	1	2	7/29/2009 12:00:00 AM
Alb	AEG19	Plantago	Plantago media	5	1	7/25/2009 12:00:00 AM
Alb	AEG19	Ranunculus	Ranunculus acris	80	1	7/25/2009 12:00:00 AM
Alb	AEG19	Ranunculus	Ranunculus acris	150	2	7/29/2009 12:00:00 AM
Alb	AEG19	Ranunculus	Ranunculus acris	25	3	8/7/2009 12:00:00 AM
Alb	AEG19	Ranunculus	Ranunculus repens	30	4	8/12/2009 12:00:00 AM
Alb	AEG19	Rumex	Rumex acetosa	30	2	7/29/2009 12:00:00 AM
Alb	AEG19	Rumex	Rumex acetosa	30	3	8/7/2009 12:00:00 AM
Alb	AEG19	Rumex	Rumex obtusifolius	100	2	7/29/2009 12:00:00 AM
Alb	AEG19	Rumex	Rumex obtusifolius	60	3	8/7/2009 12:00:00 AM
Alb	AEG19	Trifolium	Trifolium pratense	95	1	7/25/2009 12:00:00 AM
Alb	AEG19	Trifolium	Trifolium pratense	170	2	7/29/2009 12:00:00 AM
Alb	AEG19	Trifolium	Trifolium pratense	170	3	8/7/2009 12:00:00 AM
Alb	AEG19	Trifolium	Trifolium pratense	110	4	8/12/2009 12:00:00 AM
Alb	AEG19	Trifolium	Trifolium repens	5	1	7/25/2009 12:00:00 AM
Alb	AEG19	Trifolium	Trifolium repens	10	2	7/29/2009 12:00:00 AM
Alb	AEG2	Achillea	Achillea millefolium agg.	40	3	8/7/2009 12:00:00 AM
Alb	AEG2	Achillea	Achillea millefolium agg.	50	4	8/9/2009 12:00:00 AM
Alb	AEG2	Bellis	Bellis perennis	60	1	7/28/2009 12:00:00 AM
Alb	AEG2	Bellis	Bellis perennis	55	2	7/30/2009 12:00:00 AM
Alb	AEG2	Bellis	Bellis perennis	75	3	8/7/2009 12:00:00 AM
Alb	AEG2	Bellis	Bellis perennis	110	4	8/9/2009 12:00:00 AM
Alb	AEG2	Galium	Galium mollugo agg.	20	4	8/9/2009 12:00:00 AM
Alb	AEG2	Geranium	Geranium pyrenaicum	70	1	7/28/2009 12:00:00 AM
Alb	AEG2	Geranium	Geranium pyrenaicum	50	2	7/30/2009 12:00:00 AM
Alb	AEG2	Geranium	Geranium sylvaticum	90	4	8/9/2009 12:00:00 AM
Alb	AEG2	Geranium	Geranium sylvaticum	55	3	8/7/2009 12:00:00 AM
Alb	AEG2	Minuartia	Minuartia verna	10	4	8/9/2009 12:00:00 AM
Alb	AEG2	Alchemilla		30	4	8/9/2009 12:00:00 AM
Alb	AEG2	Pimpinella	Pimpinella saxifraga	60	1	7/28/2009 12:00:00 AM
Alb	AEG2	Pimpinella	Pimpinella saxifraga	70	2	7/30/2009 12:00:00 AM
Alb	AEG2	Pimpinella	Pimpinella saxifraga	90	3	8/7/2009 12:00:00 AM
Alb	AEG2	Pimpinella	Pimpinella saxifraga	95	4	8/9/2009 12:00:00 AM
Alb	AEG2	Plantago	Plantago major	20	1	7/28/2009 12:00:00 AM
Alb	AEG2	Plantago	Plantago major	60	2	7/30/2009 12:00:00 AM
Alb	AEG2	Plantago	Plantago major	135	3	8/7/2009 12:00:00 AM
Alb	AEG2	Plantago	Plantago major	95	4	8/9/2009 12:00:00 AM
Alb	AEG2	Taraxacum	Taraxacum officinale	5	3	8/7/2009 12:00:00 AM
Alb	AEG2	Trifolium	Trifolium pratense	80	1	7/28/2009 12:00:00 AM
Alb	AEG2	Trifolium	Trifolium pratense	120	2	7/30/2009 12:00:00 AM
Alb	AEG2	Trifolium	Trifolium pratense	95	3	8/7/2009 12:00:00 AM
Alb	AEG2	Trifolium	Trifolium pratense	95	4	8/9/2009 12:00:00 AM
Alb	AEG2	Trifolium	Trifolium repens	155	1	7/28/2009 12:00:00 AM
Alb	AEG2	Trifolium	Trifolium repens	160	2	7/30/2009 12:00:00 AM
Alb	AEG2	Trifolium	Trifolium repens	250	3	8/7/2009 12:00:00 AM
Alb	AEG2	Trifolium	Trifolium repens	185	4	8/9/2009 12:00:00 AM
Alb	AEG21	Achillea	Achillea millefolium agg.	10	4	8/8/2009 12:00:00 AM
Alb	AEG21	Galium	Galium mollugo agg.	10	4	8/8/2009 12:00:00 AM
Alb	AEG21	Heracleum	Heracleum sphondylium	15	2	7/30/2009 12:00:00 AM
Alb	AEG21	Heracleum	Heracleum sphondylium	20	3	8/5/2009 12:00:00 AM
Alb	AEG21	Heracleum	Heracleum sphondylium	120	4	8/8/2009 12:00:00 AM
Alb	AEG21	Minuartia	Minuartia verna	5	2	7/30/2009 12:00:00 AM
Alb	AEG21	Minuartia	Minuartia verna	10	3	8/5/2009 12:00:00 AM
Alb	AEG21	Minuartia	Minuartia verna	5	4	8/8/2009 12:00:00 AM
Alb	AEG21	Achemilla		110	2	7/30/2009 12:00:00 AM
Alb	AEG21	Alchemilla		25	3	8/5/2009 12:00:00 AM
Alb	AEG21	Alchemilla		45	4	8/8/2009 12:00:00 AM
Alb	AEG21	Plantago	Plantago major	10	2	7/30/2009 12:00:00 AM
Alb	AEG21	Plantago	Plantago major	5	4	8/8/2009 12:00:00 AM
Alb	AEG21	Plantago	Plantago media	15	1	7/26/2009 12:00:00 AM
Alb	AEG21	Plantago	Plantago media	60	2	7/30/2009 12:00:00 AM
Alb	AEG21	Plantago	Plantago media	25	3	8/5/2009 12:00:00 AM
Alb	AEG21	Plantago	Plantago media	55	4	8/8/2009 12:00:00 AM
Alb	AEG21	Ranunculus	Ranunculus acris	3	1	7/26/2009 12:00:00 AM
Alb	AEG21	Ranunculus	Ranunculus nemorosus	15	3	8/5/2009 12:00:00 AM
Alb	AEG21	Ranunculus	Ranunculus nemorosus	20	4	8/8/2009 12:00:00 AM
Alb	AEG21	Ranunculus	Ranunculus repens	10	2	7/30/2009 12:00:00 AM
Alb	AEG21	Taraxacum	Taraxacum officinale	10	4	8/8/2009 12:00:00 AM
Alb	AEG21	Trifolium	Trifolium pratense	20	1	7/26/2009 12:00:00 AM
Alb	AEG21	Trifolium	Trifolium pratense	55	2	7/30/2009 12:00:00 AM
Alb	AEG21	Trifolium	Trifolium pratense	90	3	8/5/2009 12:00:00 AM
Alb	AEG21	Trifolium	Trifolium pratense	105	4	8/8/2009 12:00:00 AM
Alb	AEG21	Trifolium	Trifolium repens	30	1	7/26/2009 12:00:00 AM
Alb	AEG21	Trifolium	Trifolium repens	125	2	7/30/2009 12:00:00 AM
Alb	AEG21	Trifolium	Trifolium repens	65	3	8/5/2009 12:00:00 AM
Alb	AEG21	Trifolium	Trifolium repens	55	4	8/8/2009 12:00:00 AM
Alb	AEG22	Campanula	Campanula rotundifolia	4	1	7/28/2009 12:00:00 AM
Alb	AEG22	Colchicum	Colchicum autumnale	25	4	8/12/2009 12:00:00 AM
Alb	AEG22	Galium	Galium mollugo agg.	50	1	7/28/2009 12:00:00 AM
Alb	AEG22	Galium	Galium mollugo agg.	30	2	7/31/2009 12:00:00 AM
Alb	AEG22	Galium	Galium mollugo agg.	30	3	8/6/2009 12:00:00 AM
Alb	AEG22	Galium	Galium verum	60	1	7/28/2009 12:00:00 AM
Alb	AEG22	Geranium	Geranium pratense	10	1	7/28/2009 12:00:00 AM
Alb	AEG22	Geranium	Geranium pratense	10	2	7/31/2009 12:00:00 AM
Alb	AEG22	Geranium	Geranium pyrenaicum	5	2	7/31/2009 12:00:00 AM
Alb	AEG22	Geranium	Geranium pyrenaicum	10	3	8/6/2009 12:00:00 AM
Alb	AEG22	Geranium	Geranium pyrenaicum	20	4	8/12/2009 12:00:00 AM
Alb	AEG22	Geranium	Geranium sylvaticum	5	3	8/6/2009 12:00:00 AM
Alb	AEG22	Knautia	Knautia arvensis	13	1	7/28/2009 12:00:00 AM
Alb	AEG22	Lathyrus	Lathyrus pratensis	10	1	7/28/2009 12:00:00 AM
Alb	AEG22	Lathyrus	Lathyrus pratensis	30	3	8/6/2009 12:00:00 AM
Alb	AEG22	Lotus	Lotus corniculatus	120	1	7/28/2009 12:00:00 AM
Alb	AEG22	Medicago	Medicago lupulina	20	1	7/28/2009 12:00:00 AM
Alb	AEG22	Pimpinella	Pimpinella saxifraga	40	1	7/28/2009 12:00:00 AM
Alb	AEG22	Pimpinella	Pimpinella saxifraga	10	2	7/31/2009 12:00:00 AM
Alb	AEG22	Pimpinella	Pimpinella saxifraga	5	3	8/6/2009 12:00:00 AM
Alb	AEG22	Pimpinella	Pimpinella saxifraga	15	4	8/12/2009 12:00:00 AM
Alb	AEG22	Plantago	Plantago major	10	1	7/28/2009 12:00:00 AM
Alb	AEG22	Plantago	Plantago major	5	2	7/31/2009 12:00:00 AM
Alb	AEG22	Plantago	Plantago major	10	3	8/6/2009 12:00:00 AM
Alb	AEG22	Plantago	Plantago major	10	4	8/12/2009 12:00:00 AM
Alb	AEG22	Plantago	Plantago media	5	4	8/12/2009 12:00:00 AM
Alb	AEG22	Senecio	Senecio erucifolius	15	1	7/28/2009 12:00:00 AM
Alb	AEG22	Trifolium	Trifolium pratense	155	1	7/28/2009 12:00:00 AM
Alb	AEG22	Trifolium	Trifolium pratense	100	2	7/31/2009 12:00:00 AM
Alb	AEG22	Trifolium	Trifolium pratense	130	3	8/6/2009 12:00:00 AM
Alb	AEG22	Trifolium	Trifolium pratense	60	4	8/12/2009 12:00:00 AM
Alb	AEG22	Trifolium	Trifolium repens	5	1	7/28/2009 12:00:00 AM
Alb	AEG22	Trifolium	Trifolium repens	20	2	7/31/2009 12:00:00 AM
Alb	AEG22	Vicia	Vicia sativa	10	3	8/6/2009 12:00:00 AM
Alb	AEG25	Achillea	Achillea millefolium agg.	25	1	7/26/2009 12:00:00 AM
Alb	AEG25	Achillea	Achillea millefolium agg.	70	2	7/30/2009 12:00:00 AM
Alb	AEG25	Achillea	Achillea millefolium agg.	80	3	8/5/2009 12:00:00 AM
Alb	AEG25	Achillea	Achillea millefolium agg.	110	4	8/8/2009 12:00:00 AM
Alb	AEG25	Asperula	Asperula cyanchica	485	1	7/26/2009 12:00:00 AM
Alb	AEG25	Asperula	Asperula cyanchica	810	2	7/30/2009 12:00:00 AM
Alb	AEG25	Asperula	Asperula cyanchica	410	3	8/5/2009 12:00:00 AM
Alb	AEG25	Asperula	Asperula cyanchica	530	4	8/8/2009 12:00:00 AM
Alb	AEG25	Campanula	Campanula rotundifolia	55	1	7/26/2009 12:00:00 AM
Alb	AEG25	Campanula	Campanula rotundifolia	105	2	7/30/2009 12:00:00 AM
Alb	AEG25	Campanula	Campanula rotundifolia	165	3	8/5/2009 12:00:00 AM
Alb	AEG25	Campanula	Campanula rotundifolia	165	4	8/8/2009 12:00:00 AM
Alb	AEG25	Cirsium	Cirsium acaule	10	4	8/8/2009 12:00:00 AM
Alb	AEG25	Galium	Galium mollugo agg.	10	1	7/26/2009 12:00:00 AM
Alb	AEG25	Galium	Galium mollugo agg.	50	2	7/30/2009 12:00:00 AM
Alb	AEG25	Galium	Galium mollugo agg.	30	3	8/5/2009 12:00:00 AM
Alb	AEG25	Galium	Galium mollugo agg.	30	4	8/8/2009 12:00:00 AM
Alb	AEG25	Galium	Galium verum	190	1	7/26/2009 12:00:00 AM
Alb	AEG25	Galium	Galium verum	175	2	7/30/2009 12:00:00 AM
Alb	AEG25	Galium	Galium verum	45	3	8/5/2009 12:00:00 AM
Alb	AEG25	Galium	Galium verum	50	4	8/8/2009 12:00:00 AM
Alb	AEG25	Geranium	Geranium sanguineum	10	3	8/5/2009 12:00:00 AM
Alb	AEG25	Hieracium	Hieracium pilosella	10	2	7/30/2009 12:00:00 AM
Alb	AEG25	Hieracium	Hieracium pilosella	30	3	8/5/2009 12:00:00 AM
Alb	AEG25	Hieracium	Hieracium pilosella	55	4	8/8/2009 12:00:00 AM
Alb	AEG25	Hypericum	Hypericum perforatum	45	1	7/26/2009 12:00:00 AM
Alb	AEG25	Hypericum	Hypericum perforatum	80	2	7/30/2009 12:00:00 AM
Alb	AEG25	Hypericum	Hypericum perforatum	80	3	8/5/2009 12:00:00 AM
Alb	AEG25	Hypericum	Hypericum perforatum	75	4	8/8/2009 12:00:00 AM
Alb	AEG25	Leontodon	Leontodon hispidus	72	2	7/30/2009 12:00:00 AM
Alb	AEG25	Leontodon	Leontodon hispidus	60	3	8/5/2009 12:00:00 AM
Alb	AEG25	Leontodon	Leontodon hispidus	80	4	8/8/2009 12:00:00 AM
Alb	AEG25	Lotus	Lotus corniculatus	120	1	7/26/2009 12:00:00 AM
Alb	AEG25	Lotus	Lotus corniculatus	120	2	7/30/2009 12:00:00 AM
Alb	AEG25	Lotus	Lotus corniculatus	120	3	8/5/2009 12:00:00 AM
Alb	AEG25	Lotus	Lotus corniculatus	130	4	8/8/2009 12:00:00 AM
Alb	AEG25	Medicago	Medicago lupulina	40	2	7/30/2009 12:00:00 AM
Alb	AEG25	Medicago	Medicago lupulina	30	4	8/8/2009 12:00:00 AM
Alb	AEG25	Senecio		30	1	7/26/2009 12:00:00 AM
Alb	AEG25	Senecio		160	2	7/30/2009 12:00:00 AM
Alb	AEG25	Senecio		50	3	8/5/2009 12:00:00 AM
Alb	AEG25	Senecio		120	4	8/8/2009 12:00:00 AM
Alb	AEG25	Ononis	Ononis spinosa	10	2	7/30/2009 12:00:00 AM
Alb	AEG25	Pimpinella	Pimpinella saxifraga	120	2	7/30/2009 12:00:00 AM
Alb	AEG25	Pimpinella	Pimpinella saxifraga	155	3	8/5/2009 12:00:00 AM
Alb	AEG25	Pimpinella	Pimpinella saxifraga	190	4	8/8/2009 12:00:00 AM
Alb	AEG25	Plantago	Plantago major	45	2	7/30/2009 12:00:00 AM
Alb	AEG25	Plantago	Plantago major	5	4	8/8/2009 12:00:00 AM
Alb	AEG25	Plantago	Plantago media	40	1	7/26/2009 12:00:00 AM
Alb	AEG25	Plantago	Plantago media	40	2	7/30/2009 12:00:00 AM
Alb	AEG25	Plantago	Plantago media	25	3	8/5/2009 12:00:00 AM
Alb	AEG25	Plantago	Plantago media	25	4	8/8/2009 12:00:00 AM
Alb	AEG25	Potentillla	Potentilla erecta	120	1	7/26/2009 12:00:00 AM
Alb	AEG25	Potentillla	Potentilla erecta	120	2	7/30/2009 12:00:00 AM
Alb	AEG25	Potentillla	Potentilla erecta	215	3	8/5/2009 12:00:00 AM
Alb	AEG25	Potentillla	Potentilla erecta	60	4	8/8/2009 12:00:00 AM
Alb	AEG25	Prunella	Prunella grandiflora	50	1	7/26/2009 12:00:00 AM
Alb	AEG25	Prunella	Prunella grandiflora	70	2	7/30/2009 12:00:00 AM
Alb	AEG25	Prunella	Prunella grandiflora	45	3	8/5/2009 12:00:00 AM
Alb	AEG25	Prunella	Prunella grandiflora	50	4	8/8/2009 12:00:00 AM
Alb	AEG25	Rhinanthus	Rhinanthus alectorolophus	20	1	7/26/2009 12:00:00 AM
Alb	AEG25	Rhinanthus	Rhinanthus alectorolophus	30	3	8/5/2009 12:00:00 AM
Alb	AEG25	Rhinanthus	Rhinanthus alectorolophus	30	4	8/8/2009 12:00:00 AM
Alb	AEG25	Scabiosa	Scabiosa columbaria	72	1	7/26/2009 12:00:00 AM
Alb	AEG25	Scabiosa	Scabiosa columbaria	130	2	7/30/2009 12:00:00 AM
Alb	AEG25	Scabiosa	Scabiosa columbaria	105	3	8/5/2009 12:00:00 AM
Alb	AEG25	Scabiosa	Scabiosa columbaria	120	4	8/8/2009 12:00:00 AM
Alb	AEG25	Teucrium	Teucrium chamaedrys	60	2	7/30/2009 12:00:00 AM
Alb	AEG25	Teucrium	Teucrium chamaedrys	10	1	7/26/2009 12:00:00 AM
Alb	AEG25	Teucrium	Teucrium chamaedrys	80	3	8/5/2009 12:00:00 AM
Alb	AEG25	Teucrium	Teucrium chamaedrys	80	4	8/8/2009 12:00:00 AM
Alb	AEG25	Teucrium	Teucrium montanum	20	2	7/30/2009 12:00:00 AM
Alb	AEG25	Thymus	Thymus pulegioides	700	2	7/30/2009 12:00:00 AM
Alb	AEG25	Thymus	Thymus pulegioides	350	3	8/5/2009 12:00:00 AM
Alb	AEG25	Thymus	Thymus pulegioides	210	4	8/8/2009 12:00:00 AM
Alb	AEG25	Thymus	Thymus pulegioides	970	1	7/26/2009 12:00:00 AM
Alb	AEG25	Trifolium	Trifolium dubium	30	2	7/30/2009 12:00:00 AM
Alb	AEG25	Trifolium	Trifolium pratense	155	1	7/26/2009 12:00:00 AM
Alb	AEG25	Trifolium	Trifolium pratense	110	2	7/30/2009 12:00:00 AM
Alb	AEG25	Trifolium	Trifolium pratense	70	3	8/5/2009 12:00:00 AM
Alb	AEG25	Trifolium	Trifolium pratense	35	4	8/8/2009 12:00:00 AM
Alb	AEG25	Trifolium	Trifolium repens	30	1	7/26/2009 12:00:00 AM
Alb	AEG25	Trifolium	Trifolium repens	30	2	7/30/2009 12:00:00 AM
Alb	AEG25	Trifolium	Trifolium repens	25	3	8/5/2009 12:00:00 AM
