record_no	exploratory	EP_PlotID	plant_genus	plant_species	no_inflorescences	inflorescences_qcm	sub_plot	survey	date	last_mowing
66	SchwaebischeAlb	AEG12	Vicia	Vicia sepium	3	3	managed	1	7/6/2008 12:00:00 AM	
67	SchwaebischeAlb	AEG12	Vicia	Vicia sepium	3	3	succession	1	7/6/2008 12:00:00 AM	
68	SchwaebischeAlb	AEG12	Galium	Galium mollugo agg.	30	3	managed	2	8/14/2008 12:00:00 AM	7/12/2008
69	SchwaebischeAlb	AEG12	Galium	Galium mollugo agg.	1100	122	realistic	2	8/14/2008 12:00:00 AM	
70	SchwaebischeAlb	AEG12	Galium	Galium mollugo agg.	450	50	succession	2	8/14/2008 12:00:00 AM	
71	SchwaebischeAlb	AEG12	Plantago	Plantago lanceolata	25	50	managed	2	8/14/2008 12:00:00 AM	7/12/2008
72	SchwaebischeAlb	AEG12	Plantago	Plantago lanceolata	6	12	realistic	2	8/14/2008 12:00:00 AM	
73	SchwaebischeAlb	AEG12	Ranunculus	Ranunculus acris	6	6	realistic	2	8/14/2008 12:00:00 AM	
74	SchwaebischeAlb	AEG12	Trifolium	Trifolium pratense	80	160	managed	2	8/14/2008 12:00:00 AM	7/12/2008
75	SchwaebischeAlb	AEG12	Trifolium	Trifolium pratense	200	400	realistic	2	8/14/2008 12:00:00 AM	
76	SchwaebischeAlb	AEG12	Trifolium	Trifolium pratense	30	60	succession	2	8/14/2008 12:00:00 AM	
77	SchwaebischeAlb	AEG12	Trifolium	Trifolium repens	10	20	managed	2	8/14/2008 12:00:00 AM	7/12/2008
78	SchwaebischeAlb	AEG12	Trifolium	Trifolium repens	1	2	succession	2	8/14/2008 12:00:00 AM	
79	SchwaebischeAlb	AEG12			0	0	realistic	3	9/11/2008 12:00:00 AM	
80	SchwaebischeAlb	AEG12	Galium	Galium mollugo agg.	1300	144	succession	3	9/11/2008 12:00:00 AM	
81	SchwaebischeAlb	AEG12	Trifolium	Trifolium pratense	90	180	managed	3	9/11/2008 12:00:00 AM	8/18/2008
82	SchwaebischeAlb	AEG12	Trifolium	Trifolium pratense	23	46	succession	3	9/11/2008 12:00:00 AM	
83	SchwaebischeAlb	AEG12	Trifolium	Trifolium repens	50	100	managed	3	9/11/2008 12:00:00 AM	8/18/2008
84	SchwaebischeAlb	AEG12	Vicia	Vicia sepium	4	4	succession	3	9/11/2008 12:00:00 AM	
85	SchwaebischeAlb	AEG13			0	0	realistic	1	6/29/2008 12:00:00 AM	
86	SchwaebischeAlb	AEG13	Galium	Galium mollugo agg.	70	8	managed	1	6/29/2008 12:00:00 AM	
87	SchwaebischeAlb	AEG13	Galium	Galium mollugo agg.	20	2	succession	1	6/29/2008 12:00:00 AM	
88	SchwaebischeAlb	AEG13	Ranunculus	Ranunculus acris	4	4	managed	1	6/29/2008 12:00:00 AM	
89	SchwaebischeAlb	AEG13	Ranunculus	Ranunculus acris	3	3	succession	1	6/29/2008 12:00:00 AM	
90	SchwaebischeAlb	AEG13	Trifolium	Trifolium pratense	10	20	managed	1	6/29/2008 12:00:00 AM	
91	SchwaebischeAlb	AEG13	Trifolium	Trifolium pratense	2	4	succession	1	6/29/2008 12:00:00 AM	
92	SchwaebischeAlb	AEG13	Trifolium	Trifolium repens	10	20	succession	1	6/29/2008 12:00:00 AM	
93	SchwaebischeAlb	AEG13	Vicia	Vicia sepium	36	4	managed	1	6/29/2008 12:00:00 AM	
94	SchwaebischeAlb	AEG13	Vicia	Vicia sepium	105	105	succession	1	6/29/2008 12:00:00 AM	
95	SchwaebischeAlb	AEG13	Cerastium	Cerastium holosteoides	3	1	managed	2	8/14/2008 12:00:00 AM	7/1/2008
96	SchwaebischeAlb	AEG13	Cerastium	Cerastium holosteoides	3	1	succession	2	8/14/2008 12:00:00 AM	
97	SchwaebischeAlb	AEG13	Galium	Galium mollugo agg.	1200	133	managed	2	8/14/2008 12:00:00 AM	7/1/2008
98	SchwaebischeAlb	AEG13	Galium	Galium mollugo agg.	5500	611	realistic	2	8/14/2008 12:00:00 AM	
99	SchwaebischeAlb	AEG13	Galium	Galium mollugo agg.	400	44	succession	2	8/14/2008 12:00:00 AM	
100	SchwaebischeAlb	AEG13	Plantago	Plantago lanceolata	5	10	managed	2	8/14/2008 12:00:00 AM	7/1/2008
101	SchwaebischeAlb	AEG13	Plantago	Plantago lanceolata	12	24	realistic	2	8/14/2008 12:00:00 AM	
102	SchwaebischeAlb	AEG13	Plantago	Plantago lanceolata	25	50	succession	2	8/14/2008 12:00:00 AM	
103	SchwaebischeAlb	AEG13	Trifolium	Trifolium pratense	46	92	managed	2	8/14/2008 12:00:00 AM	7/1/2008
104	SchwaebischeAlb	AEG13	Trifolium	Trifolium pratense	90	180	realistic	2	8/14/2008 12:00:00 AM	
105	SchwaebischeAlb	AEG13	Trifolium	Trifolium pratense	13	26	succession	2	8/14/2008 12:00:00 AM	
106	SchwaebischeAlb	AEG13	Vicia	Vicia sepium	4	4	managed	2	8/14/2008 12:00:00 AM	7/1/2008
107	SchwaebischeAlb	AEG13	Vicia	Vicia sepium	7	7	realistic	2	8/14/2008 12:00:00 AM	
108	SchwaebischeAlb	AEG13	Vicia	Vicia sepium	10	10	succession	2	8/14/2008 12:00:00 AM	
109	SchwaebischeAlb	AEG13			0	0	realistic	3	9/11/2008 12:00:00 AM	
110	SchwaebischeAlb	AEG13	Galium	Galium mollugo agg.	1050	88	succession	3	9/11/2008 12:00:00 AM	
111	SchwaebischeAlb	AEG13	Plantago	Plantago lanceolata	12	24	managed	3	9/11/2008 12:00:00 AM	8/18/2008
112	SchwaebischeAlb	AEG13	Plantago	Plantago lanceolata	23	46	succession	3	9/11/2008 12:00:00 AM	
113	SchwaebischeAlb	AEG13	Trifolium	Trifolium pratense	5	10	managed	3	9/11/2008 12:00:00 AM	8/18/2008
114	SchwaebischeAlb	AEG13	Trifolium	Trifolium pratense	27	54	succession	3	9/11/2008 12:00:00 AM	
115	SchwaebischeAlb	AEG13	Vicia	Vicia sepium	5	5	succession	3	9/11/2008 12:00:00 AM	
116	SchwaebischeAlb	AEG18			0	0	realistic	1	6/28/2008 12:00:00 AM	
117	SchwaebischeAlb	AEG18	Achillea	Achillea millefolium	4	1	managed	1	6/28/2008 12:00:00 AM	
118	SchwaebischeAlb	AEG18	Cerastium	Cerastium holosteoides	5	1	managed	1	6/28/2008 12:00:00 AM	
119	SchwaebischeAlb	AEG18	Cerastium	Cerastium holosteoides	5	1	succession	1	6/28/2008 12:00:00 AM	
120	SchwaebischeAlb	AEG18	Galium	Galium mollugo agg.	100	11	managed	1	6/28/2008 12:00:00 AM	
121	SchwaebischeAlb	AEG18	Galium	Galium mollugo agg.	20	2	succession	1	6/28/2008 12:00:00 AM	
122	SchwaebischeAlb	AEG18	Ranunculus	Ranunculus acris	6	6	succession	1	6/28/2008 12:00:00 AM	
123	SchwaebischeAlb	AEG18	Trifolium	Trifolium pratense	3	6	managed	1	6/28/2008 12:00:00 AM	
124	SchwaebischeAlb	AEG18	Vicia	Vicia sepium	37	37	managed	1	6/28/2008 12:00:00 AM	
125	SchwaebischeAlb	AEG18	Vicia	Vicia sepium	15	15	succession	1	6/28/2008 12:00:00 AM	
126	SchwaebischeAlb	AEG18	Achillea	Achillea millefolium	210	23	managed	2	8/13/2008 12:00:00 AM	6/30/2008
127	SchwaebischeAlb	AEG18	Achillea	Achillea millefolium	30	3	realistic	2	8/13/2008 12:00:00 AM	
128	SchwaebischeAlb	AEG18	Galium	Galium mollugo agg.	14500	1208	managed	2	8/13/2008 12:00:00 AM	6/30/2008
129	SchwaebischeAlb	AEG18	Galium	Galium mollugo agg.	7000	778	realistic	2	8/13/2008 12:00:00 AM	
130	SchwaebischeAlb	AEG18	Heracleum	Heracleum sphondylium	30	3	managed	2	8/13/2008 12:00:00 AM	6/30/2008
131	SchwaebischeAlb	AEG18	Plantago	Plantago lanceolata	10	20	managed	2	8/13/2008 12:00:00 AM	6/30/2008
132	SchwaebischeAlb	AEG18	Plantago	Plantago lanceolata	1	2	succession	2	8/13/2008 12:00:00 AM	
133	SchwaebischeAlb	AEG18	Ranunculus	Ranunculus acris	4	4	managed	2	8/13/2008 12:00:00 AM	6/30/2008
134	SchwaebischeAlb	AEG18	Ranunculus	Ranunculus acris	4	4	realistic	2	8/13/2008 12:00:00 AM	
135	SchwaebischeAlb	AEG18	Trifolium	Trifolium pratense	33	66	managed	2	8/13/2008 12:00:00 AM	6/30/2008
136	SchwaebischeAlb	AEG18	Trifolium	Trifolium pratense	54	108	realistic	2	8/13/2008 12:00:00 AM	
137	SchwaebischeAlb	AEG18	Vicia	Vicia sepium	14	14	managed	2	8/13/2008 12:00:00 AM	6/30/2008
138	SchwaebischeAlb	AEG18	Vicia	Vicia sepium	14	14	realistic	2	8/13/2008 12:00:00 AM	
139	SchwaebischeAlb	AEG18	Vicia	Vicia sepium	4	4	succession	2	8/13/2008 12:00:00 AM	
140	SchwaebischeAlb	AEG18			0	0	realistic	3	9/7/2008 12:00:00 AM	
141	SchwaebischeAlb	AEG18	Galium	Galium mollugo agg.	35	4	managed	3	9/7/2008 12:00:00 AM	8/14/2008
142	SchwaebischeAlb	AEG18	Galium	Galium mollugo agg.	10000	1111	succession	3	9/7/2008 12:00:00 AM	
143	SchwaebischeAlb	AEG18	Plantago	Plantago lanceolata	5	10	managed	3	9/7/2008 12:00:00 AM	8/14/2008
144	SchwaebischeAlb	AEG18	Ranunculus	Ranunculus acris	1	1	managed	3	9/7/2008 12:00:00 AM	8/14/2008
145	SchwaebischeAlb	AEG18	Ranunculus	Ranunculus acris	2	2	succession	3	9/7/2008 12:00:00 AM	
146	SchwaebischeAlb	AEG18	Trifolium	Trifolium pratense	3	6	managed	3	9/7/2008 12:00:00 AM	8/14/2008
147	SchwaebischeAlb	AEG18	Vicia	Vicia sepium	10	10	succession	3	9/7/2008 12:00:00 AM	
148	SchwaebischeAlb	AEG19			0	0	realistic	1	7/2/2008 12:00:00 AM	
149	SchwaebischeAlb	AEG19	Galium	Galium mollugo agg.	50	6	managed	1	7/2/2008 12:00:00 AM	
150	SchwaebischeAlb	AEG19	Ranunculus	Ranunculus acris	6	6	managed	1	7/2/2008 12:00:00 AM	
151	SchwaebischeAlb	AEG19	Ranunculus	Ranunculus acris	24	24	succession	1	7/2/2008 12:00:00 AM	
152	SchwaebischeAlb	AEG19	Trifolium	Trifolium pratense	1	2	managed	1	7/2/2008 12:00:00 AM	
153	SchwaebischeAlb	AEG19	Achillea	Achillea millefolium	20	3	succession	2	8/7/2008 12:00:00 AM	
154	SchwaebischeAlb	AEG19	Cerastium	Cerastium holosteoides	9	2	succession	2	8/7/2008 12:00:00 AM	
155	SchwaebischeAlb	AEG19	Galium	Galium mollugo agg.	80	9	managed	2	8/7/2008 12:00:00 AM	7/3/2008
156	SchwaebischeAlb	AEG19	Galium	Galium mollugo agg.	220	24	realistic	2	8/7/2008 12:00:00 AM	
157	SchwaebischeAlb	AEG19	Galium	Galium mollugo agg.	120	13	succession	2	8/7/2008 12:00:00 AM	
158	SchwaebischeAlb	AEG19	Heracleum	Heracleum sphondylium	60	7	managed	2	8/7/2008 12:00:00 AM	7/3/2008
159	SchwaebischeAlb	AEG19	Lamium	Lamium album	6	6	realistic	2	8/7/2008 12:00:00 AM	
160	SchwaebischeAlb	AEG19	Pastinaca	Pastinaca sativa	20	2	realistic	2	8/7/2008 12:00:00 AM	
161	SchwaebischeAlb	AEG19	Ranunculus	Ranunculus acris	2	2	succession	2	8/7/2008 12:00:00 AM	
162	SchwaebischeAlb	AEG19			0	0	managed	3	9/10/2008 12:00:00 AM	8/11/2008
163	SchwaebischeAlb	AEG19			0	0	realistic	3	9/10/2008 12:00:00 AM	
164	SchwaebischeAlb	AEG19	Cerastium	Cerastium holosteoides	11	2	succession	3	9/10/2008 12:00:00 AM	
165	SchwaebischeAlb	AEG19	Galium	Galium mollugo agg.	300	33	succession	3	9/10/2008 12:00:00 AM	
166	SchwaebischeAlb	AEG2	Achillea	Achillea millefolium	50	8	succession	1	6/29/2008 12:00:00 AM	
167	SchwaebischeAlb	AEG2	Bellis	Bellis perennis	30	30	realistic	1	6/29/2008 12:00:00 AM	
168	SchwaebischeAlb	AEG2	Carum	Carum carvi	1050	117	managed	1	6/29/2008 12:00:00 AM	
169	SchwaebischeAlb	AEG2	Carum	Carum carvi	3600	400	realistic	1	6/29/2008 12:00:00 AM	
170	SchwaebischeAlb	AEG2	Carum	Carum carvi	2700	300	succession	1	6/29/2008 12:00:00 AM	
171	SchwaebischeAlb	AEG2	Geranium	Geranium molle	20	5	managed	1	6/29/2008 12:00:00 AM	
172	SchwaebischeAlb	AEG2	Geranium	Geranium molle	19	5	realistic	1	6/29/2008 12:00:00 AM	
173	SchwaebischeAlb	AEG2	Geranium	Geranium molle	26	7	succession	1	6/29/2008 12:00:00 AM	
174	SchwaebischeAlb	AEG2	Trifolium	Trifolium repens	10	20	managed	1	6/29/2008 12:00:00 AM	
175	SchwaebischeAlb	AEG2	Trifolium	Trifolium repens	21	42	realistic	1	6/29/2008 12:00:00 AM	
176	SchwaebischeAlb	AEG2			0	0	managed	2	8/8/2008 12:00:00 AM	7/12/2008
177	SchwaebischeAlb	AEG2	Achillea	Achillea millefolium	900	150	succession	2	8/8/2008 12:00:00 AM	
178	SchwaebischeAlb	AEG2	Geranium	Geranium pyrenaicum	4	1	succession	2	8/8/2008 12:00:00 AM	
179	SchwaebischeAlb	AEG2	Trifolium	Trifolium repens	1	2	realistic	2	8/8/2008 12:00:00 AM	
180	SchwaebischeAlb	AEG2	Trifolium	Trifolium repens	2	4	succession	2	8/8/2008 12:00:00 AM	
181	SchwaebischeAlb	AEG2	Bellis	Bellis perennis	3	3	managed	3	9/7/2008 12:00:00 AM	8/13/2008
182	SchwaebischeAlb	AEG2	Geranium	Geranium pyrenaicum	2	1	realistic	3	9/7/2008 12:00:00 AM	
183	SchwaebischeAlb	AEG2	Geranium	Geranium pyrenaicum	3	1	succession	3	9/7/2008 12:00:00 AM	
184	SchwaebischeAlb	AEG20	Aegopodium	Aegopodium podagraria	9000	1000	managed	1	7/4/2008 12:00:00 AM	
185	SchwaebischeAlb	AEG20	Aegopodium	Aegopodium podagraria	4000	444	realistic	1	7/4/2008 12:00:00 AM	
186	SchwaebischeAlb	AEG20	Aegopodium	Aegopodium podagraria	15000	1667	succession	1	7/4/2008 12:00:00 AM	
187	SchwaebischeAlb	AEG20	Galium	Galium mollugo agg.	20	2	managed	1	7/4/2008 12:00:00 AM	
188	SchwaebischeAlb	AEG20	Lathyrus	Lathyrus pratensis	28	28	managed	1	7/4/2008 12:00:00 AM	
189	SchwaebischeAlb	AEG20	Lathyrus	Lathyrus pratensis	9	9	succession	1	7/4/2008 12:00:00 AM	
190	SchwaebischeAlb	AEG20	Prunella	Prunella vulgaris	4	2	managed	1	7/4/2008 12:00:00 AM	
191	SchwaebischeAlb	AEG20	Ranunculus	Ranunculus acris	7	7	managed	1	7/4/2008 12:00:00 AM	
192	SchwaebischeAlb	AEG20	Ranunculus	Ranunculus acris	8	8	succession	1	7/4/2008 12:00:00 AM	
193	SchwaebischeAlb	AEG20	Stellaria	Stellaria graminea	4	1	managed	1	7/4/2008 12:00:00 AM	
194	SchwaebischeAlb	AEG20	Stellaria	Stellaria graminea	10	3	succession	1	7/4/2008 12:00:00 AM	
195	SchwaebischeAlb	AEG20	Trifolium	Trifolium repens	7	14	realistic	1	7/4/2008 12:00:00 AM	
196	SchwaebischeAlb	AEG20	Vicia	Vicia sepium	2	2	managed	1	7/4/2008 12:00:00 AM	
197	SchwaebischeAlb	AEG20	Vicia	Vicia sepium	3	3	succession	1	7/4/2008 12:00:00 AM	
198	SchwaebischeAlb	AEG20	Aegopodium	Aegopodium podagraria	60	7	managed	2	8/16/2008 12:00:00 AM	7/5/2008
199	SchwaebischeAlb	AEG20	Galium	Galium mollugo agg.	450	50	managed	2	8/16/2008 12:00:00 AM	7/5/2008
200	SchwaebischeAlb	AEG20	Galium	Galium mollugo agg.	60	7	realistic	2	8/16/2008 12:00:00 AM	
201	SchwaebischeAlb	AEG20	Galium	Galium mollugo agg.	40	4	succession	2	8/16/2008 12:00:00 AM	
202	SchwaebischeAlb	AEG20	Lathyrus	Lathyrus pratensis	15	15	succession	2	8/16/2008 12:00:00 AM	
203	SchwaebischeAlb	AEG20	Ranunculus	Ranunculus acris	3	3	managed	2	8/16/2008 12:00:00 AM	7/5/2008
204	SchwaebischeAlb	AEG20	Ranunculus	Ranunculus acris	40	40	realistic	2	8/16/2008 12:00:00 AM	
205	SchwaebischeAlb	AEG20	Trifolium	Trifolium repens	3	6	realistic	2	8/16/2008 12:00:00 AM	
206	SchwaebischeAlb	AEG20	Galium	Galium mollugo agg.	240	27	realistic	3	9/10/2008 12:00:00 AM	
207	SchwaebischeAlb	AEG20	Galium	Galium mollugo agg.	1350	150	succession	3	9/10/2008 12:00:00 AM	
208	SchwaebischeAlb	AEG20	Lathyrus	Lathyrus pratensis	4	4	succession	3	9/10/2008 12:00:00 AM	
209	SchwaebischeAlb	AEG20	Ranunculus	Ranunculus acris	22	22	managed	3	9/10/2008 12:00:00 AM	8/18/2008
210	SchwaebischeAlb	AEG20	Ranunculus	Ranunculus acris	24	24	realistic	3	9/10/2008 12:00:00 AM	
211	SchwaebischeAlb	AEG20	Trifolium	Trifolium repens	2	4	realistic	3	9/10/2008 12:00:00 AM	
212	SchwaebischeAlb	AEG21			0	0	succession	2	8/16/2008 12:00:00 AM	
213	SchwaebischeAlb	AEG21	Achillea	Achillea millefolium	350	58	managed	1	7/4/2008 12:00:00 AM	
214	SchwaebischeAlb	AEG21	Achillea	Achillea millefolium	50	8	succession	1	7/4/2008 12:00:00 AM	
215	SchwaebischeAlb	AEG21	Bellis	Bellis perennis	3	3	realistic	1	7/4/2008 12:00:00 AM	
216	SchwaebischeAlb	AEG21	Heracleum	Heracleum sphondylium	600	67	managed	1	7/4/2008 12:00:00 AM	
217	SchwaebischeAlb	AEG21	Heracleum	Heracleum sphondylium	1600	178	succession	1	7/4/2008 12:00:00 AM	
218	SchwaebischeAlb	AEG21	Trifolium	Trifolium pratense	10	20	managed	1	7/4/2008 12:00:00 AM	
219	SchwaebischeAlb	AEG21	Trifolium	Trifolium repens	85	170	managed	1	7/4/2008 12:00:00 AM	
220	SchwaebischeAlb	AEG21	Trifolium	Trifolium repens	72	144	realistic	1	7/4/2008 12:00:00 AM	
221	SchwaebischeAlb	AEG21	Trifolium	Trifolium repens	28	56	succession	1	7/4/2008 12:00:00 AM	
222	SchwaebischeAlb	AEG21	Achillea	Achillea millefolium	35	6	realistic	2	8/16/2008 12:00:00 AM	
223	SchwaebischeAlb	AEG21	Galium	Galium mollugo agg.	710	79	managed	2	8/16/2008 12:00:00 AM	7/5/2008
224	SchwaebischeAlb	AEG21	Heracleum	Heracleum sphondylium	100	11	managed	2	8/16/2008 12:00:00 AM	7/5/2008
225	SchwaebischeAlb	AEG21	Trifolium	Trifolium pratense	45	90	managed	2	8/16/2008 12:00:00 AM	7/5/2008
226	SchwaebischeAlb	AEG21	Trifolium	Trifolium pratense	36	72	realistic	2	8/16/2008 12:00:00 AM	
227	SchwaebischeAlb	AEG21	Trifolium	Trifolium repens	75	150	realistic	2	8/16/2008 12:00:00 AM	
228	SchwaebischeAlb	AEG21	Galium	Galium mollugo agg.	40	4	succession	3	9/10/2008 12:00:00 AM	
229	SchwaebischeAlb	AEG21	Plantago	Plantago lanceolata	4	8	realistic	3	9/10/2008 12:00:00 AM	
230	SchwaebischeAlb	AEG21	Plantago	Plantago lanceolata	5	10	succession	3	9/10/2008 12:00:00 AM	
231	SchwaebischeAlb	AEG21	Plantago	Plantago media	20	80	managed	3	9/10/2008 12:00:00 AM	8/18/2008
232	SchwaebischeAlb	AEG21	Trifolium	Trifolium pratense	15	30	managed	3	9/10/2008 12:00:00 AM	8/18/2008
